ID,Target
1,0
3,1
4,1
8,1
9,0
11,1
12,1
13,0
14,0
15,1
16,1
19,0
22,0
25,1
26,1
29,1
30,0
31,1
36,1
37,1
38,0
45,0
46,1
48,1
49,0
55,0
59,1
68,0
69,0
71,1
73,0
83,1
84,1
88,1
90,1
92,0
93,1
94,1
95,0
97,0
101,0
102,0
108,0
113,1
117,1
120,0
125,0
127,1
129,0
130,1
132,0
134,1
137,1
139,0
145,0
147,0
148,0
149,1
150,0
155,1
161,0
165,1
166,1
168,1
170,0
179,1
183,0
184,1
186,0
187,0
188,0
189,0
191,1
192,1
194,0
195,0
198,1
199,0
201,1
205,1
209,1
212,0
213,1
219,0
221,1
224,1
225,1
227,1
228,1
229,0
232,1
233,1
234,1
236,0
243,0
249,1
250,0
253,1
255,0
256,0
258,0
265,0
268,0
270,0
271,1
273,1
274,1
280,0
281,1
283,0
284,0
288,1
291,1
296,1
297,0
298,0
299,1
301,1
309,1
310,1
311,1
314,1
315,1
320,1
324,0
326,1
330,1
333,1
337,0
339,1
344,1
346,0
347,1
350,0
355,1
356,1
358,1
360,0
362,0
364,0
365,1
366,1
368,1
369,1
370,0
372,0
375,0
377,1
378,0
380,0
384,0
385,0
388,0
389,1
391,1
394,0
397,1
398,0
402,0
404,0
410,1
413,0
416,0
419,1
423,0
427,0
428,0
430,0
431,1
433,1
434,0
435,0
438,0
440,1
441,1
446,1
448,0
453,1
458,1
463,1
464,0
467,1
468,1
474,1
477,0
484,1
486,0
489,0
492,0
493,0
495,0
499,0
501,0
510,1
512,0
515,0
519,1
523,1
526,0
530,1
535,1
538,1
539,1
540,0
542,1
543,0
545,1
546,1
548,0
554,1
555,1
556,0
558,1
563,1
564,0
567,0
572,0
575,1
576,1
577,0
578,1
580,1
582,1
583,1
585,0
588,1
592,0
593,0
596,0
606,0
615,0
620,1
628,1
631,0
636,1
638,0
639,1
640,0
642,0
643,1
647,0
654,0
655,1
657,1
658,1
660,0
661,1
664,0
666,0
671,0
674,1
675,0
677,0
679,0
680,1
683,1
687,1
688,0
689,0
691,0
695,0
697,0
700,1
701,0
702,1
703,1
707,1
708,0
709,1
710,1
712,1
713,1
715,1
718,0
719,1
721,1
722,1
727,1
730,0
733,1
736,1
737,1
738,1
739,0
740,0
744,1
747,0
749,1
751,1
752,1
753,0
754,0
755,1
759,1
764,0
766,0
777,1
779,0
782,1
783,1
784,0
785,1
786,1
788,1
789,1
790,0
792,0
793,0
795,0
798,1
800,1
801,0
803,1
804,0
806,1
808,1
810,0
814,1
816,1
818,0
819,0
820,1
821,0
823,0
824,0
825,1
828,0
829,1
830,1
834,0
836,0
840,0
842,0
844,1
845,0
847,1
851,0
852,1
859,1
873,1
876,0
878,0
879,1
880,1
881,0
884,0
885,1
888,1
891,0
898,1
900,1
901,1
902,1
907,1
909,1
911,0
912,0
915,1
926,0
927,0
938,1
941,0
942,1
946,1
947,0
949,0
950,0
953,1
956,0
958,1
965,1
967,0
968,1
970,0
972,1
973,1
974,0
976,0
977,0
978,1
979,1
980,1
981,1
984,0
985,1
987,1
989,0
992,1
993,1
994,1
995,1
997,0
1001,0
1002,1
1006,1
1013,1
1017,1
1019,0
1020,1
1021,1
1028,1
1030,0
1031,0
1032,1
1037,1
1038,0
1040,0
1042,1
1049,0
1050,0
1051,1
1052,1
1053,1
1056,1
1058,1
1062,0
1064,0
1066,0
1067,1
1069,1
1070,1
1071,0
1073,0
1076,1
1078,1
1083,1
1087,1
1090,1
1091,1
1093,0
1095,0
1097,1
1098,1
1103,1
1106,0
1107,0
1111,1
1112,1
1113,1
1114,1
1122,1
1123,1
1125,1
1126,0
1128,1
1132,1
1133,0
1137,0
1142,1
1143,0
1146,0
1149,1
1151,0
1152,1
1156,0
1157,0
1159,1
1161,1
1170,1
1171,1
1172,0
1178,0
1182,0
1183,1
1185,1
1188,1
1190,0
1191,1
1192,0
1194,0
1197,0
1201,0
1203,1
1204,0
1206,0
1207,1
1208,0
1212,1
